Off Time,Track,Horse,High Fast Races (%),Med Fast Races (%),Low Fast Races (%),Best Speed (mph),Best Pos,Mean Pos,Worst Pos,Std Pos,Num Races,Tips
16:38,Ballinrobe,Blinding Light,,,,,,,,,,
16:38,Ballinrobe,Following Orders,0.2,0.2,0.4,36.32,2.0,3.4,6.0,1.67,5.0,1 tip
16:38,Ballinrobe,Mane Attraction,0.0,0.0,0.0,34.94,8.0,10.0,12.0,2.83,2.0,
16:38,Ballinrobe,Mr Eastwood,0.0,0.0,0.0,33.88,7.0,7.0,7.0,,1.0,
16:38,Ballinrobe,Tippawan Haa,0.0,0.33,0.33,33.69,2.0,4.33,6.0,2.08,3.0,1 tip
16:38,Ballinrobe,Bangor Lady,,,,,,,,,,
16:38,Ballinrobe,Hercrazysbeautiful,,,,,,,,,,
16:38,Ballinrobe,So Far Away,0.0,0.0,0.0,33.12,3.0,4.5,6.0,2.12,2.0,
16:38,Ballinrobe,Bhean Saibhre,0.25,0.25,0.25,36.39,2.0,5.12,9.0,3.14,8.0,3 tips
17:13,Ballinrobe,Mick Collins,0.4,0.6,0.6,37.5,1.0,2.2,5.0,1.64,5.0,2 tips
17:13,Ballinrobe,Castleheath,0.25,0.25,0.38,38.49,1.0,3.75,6.0,1.83,8.0,
17:13,Ballinrobe,Elusive Ogie,0.0,0.0,0.25,36.82,1.0,5.0,8.0,2.94,4.0,
17:13,Ballinrobe,Shaboozee,0.0,0.0,0.17,35.4,1.0,4.33,9.0,2.88,6.0,2 tips
17:13,Ballinrobe,Abel Mabel,0.25,0.25,0.25,40.17,1.0,4.25,8.0,2.87,4.0,1 tip
17:13,Ballinrobe,Maxios Prime,0.0,0.2,0.2,35.42,1.0,6.8,18.0,7.19,5.0,
17:43,Ballinrobe,Boujee,0.0,0.0,0.0,35.7,6.0,8.0,10.0,1.83,4.0,
17:43,Ballinrobe,Gentle Annie,,,,,,,,,,
17:43,Ballinrobe,Hysuna,0.0,0.0,0.0,33.31,8.0,8.0,8.0,,1.0,
17:43,Ballinrobe,Jetaway Nana,0.0,0.0,0.5,35.81,2.0,4.0,6.0,1.83,4.0,2 tips
17:43,Ballinrobe,Mountrivers Lass,0.0,0.0,0.0,33.45,6.0,8.0,10.0,2.0,3.0,
17:43,Ballinrobe,Not May,0.0,0.0,0.0,40.14,2.0,5.0,7.0,2.65,3.0,
17:43,Ballinrobe,Nothing Hectic,0.17,0.17,0.33,36.86,3.0,5.0,10.0,2.61,6.0,2 tips
17:43,Ballinrobe,Toor Idaho,0.0,0.0,0.0,34.46,6.0,7.0,8.0,1.41,2.0,
18:13,Ballinrobe,Van Demon,0.0,0.0,0.2,34.09,4.0,10.2,14.0,4.27,5.0,
18:13,Ballinrobe,Kilashee,0.0,0.0,0.0,35.9,2.0,7.14,15.0,4.38,7.0,
18:13,Ballinrobe,Dream Once More,,,,,,,,,,
18:13,Ballinrobe,Anysignofhim,0.0,0.0,1.0,34.73,3.0,3.0,3.0,,1.0,1 tip
18:13,Ballinrobe,Klassman,0.17,0.17,0.5,36.25,2.0,4.0,10.0,3.03,6.0,
18:13,Ballinrobe,Ponderosa Lady,0.0,0.0,0.0,36.11,7.0,8.33,9.0,1.15,3.0,
18:13,Ballinrobe,Tedworth,0.0,0.0,0.0,37.47,5.0,8.14,12.0,2.97,7.0,
18:13,Ballinrobe,Western Opera,0.0,0.0,0.0,35.25,2.0,8.33,12.0,4.32,6.0,1 tip
18:13,Ballinrobe,Georginas Jet,0.0,0.0,0.0,39.14,3.0,6.43,10.0,2.57,7.0,1 tip
18:13,Ballinrobe,Damoso,0.0,0.0,0.0,34.35,7.0,10.0,12.0,2.16,4.0,
18:13,Ballinrobe,Rockon Henry,0.0,0.0,0.0,34.56,9.0,9.0,9.0,,1.0,
18:43,Ballinrobe,Friends N Commerce,0.0,0.0,0.0,34.6,3.0,7.67,12.0,4.51,3.0,
18:43,Ballinrobe,Miss Oreo,0.0,0.0,0.0,36.06,4.0,8.5,14.0,4.2,4.0,
18:43,Ballinrobe,Steps In The Sand,0.22,0.22,0.33,38.96,1.0,5.78,13.0,4.44,9.0,2 tips
18:43,Ballinrobe,Bayou Belle,0.0,0.0,0.0,36.59,2.0,5.0,11.0,3.69,6.0,1 tip
18:43,Ballinrobe,Lummi Island,0.0,0.0,0.33,34.06,4.0,7.67,11.0,3.51,3.0,
18:43,Ballinrobe,Inchidaly Copper,0.25,0.5,0.5,36.53,1.0,4.0,9.0,3.56,4.0,
18:43,Ballinrobe,Jetovango,0.0,0.0,0.0,37.53,3.0,8.0,11.0,4.36,3.0,
18:43,Ballinrobe,Cathys Quest,0.0,0.0,0.0,34.62,3.0,3.0,3.0,,1.0,2 tips
18:43,Ballinrobe,Doyen Flyer,0.17,0.17,0.17,36.51,5.0,7.83,11.0,2.48,6.0,
